code,current_price,ma5,ma20,entry_price,stop_loss,take_profit,position_size,priority,created_time
000899,9.93,9.655999999999999,9.016,10.1286,9.433499999999999,10.724400000000001,1000,1,2025-07-14 22:18:05
600531,8.34,8.008,7.614,8.5068,7.922999999999999,9.007200000000001,1100,1,2025-07-14 22:18:05
300657,27.9,27.266,27.095499999999998,28.458,26.505,30.132,300,1,2025-07-14 22:18:05
