日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-15,002174,10.01,9.94,10.25,9.76,293428,292360869.0,4.94,0.2,0.02,3.21
2025-05-16,002174,9.83,10.1,10.16,9.83,254568,256347464.72,3.32,1.61,0.16,2.78
2025-05-19,002174,10.26,10.19,10.52,10.05,259377,265384125.76,4.65,0.89,0.09,2.83
2025-05-20,002174,10.21,10.5,10.64,10.08,349641,365998469.07,5.5,3.04,0.31,3.82
2025-05-21,002174,10.46,11.11,11.34,10.46,573867,632624875.79,8.38,5.81,0.61,6.27
2025-05-22,002174,11.09,11.72,11.87,10.9,740146,860011696.71,8.73,5.49,0.61,8.09
2025-05-23,002174,11.9,11.74,12.03,11.55,735559,865202326.87,4.1,0.17,0.02,8.04
2025-05-26,002174,11.8,12.91,12.91,11.77,634756,796070177.87,9.71,9.97,1.17,6.93
2025-05-27,002174,12.79,13.0,13.3,12.62,1032325,1340684241.94,5.27,0.7,0.09,11.28
2025-05-28,002174,12.87,13.62,14.15,12.85,1089130,1467196287.17,10.0,4.77,0.62,11.9
2025-05-29,002174,13.51,13.82,13.9,13.51,820661,1126260570.2,2.86,1.47,0.2,8.97
2025-05-30,002174,13.82,13.6,13.95,13.51,648864,889578210.98,3.18,-1.59,-0.22,7.09
2025-06-03,002174,13.62,12.97,13.85,12.74,1223216,1613383132.81,8.16,-4.63,-0.63,13.36
2025-06-04,002174,12.98,13.55,13.7,12.84,708502,947431636.87,6.63,4.47,0.58,7.74
2025-06-05,002174,13.63,13.58,14.23,12.97,1066928,1459766121.55,9.3,0.22,0.03,11.66
2025-06-06,002174,13.5,13.84,13.95,13.42,542023,741178703.54,3.9,1.91,0.26,5.92
2025-06-09,002174,13.86,13.84,14.0,13.5,388194,534259009.28,3.61,0.0,0.0,4.24
2025-06-10,002174,13.88,13.59,13.9,13.33,439164,594738407.2,4.12,-1.81,-0.25,4.8
2025-06-11,002174,13.59,13.59,13.74,13.34,403473,545334091.59,2.94,0.0,0.0,4.41
2025-06-12,002174,13.5,13.41,13.72,13.35,385792,520062791.29,2.72,-1.32,-0.18,4.21
2025-06-13,002174,13.28,13.15,13.35,12.99,448477,589268095.51,2.68,-1.94,-0.26,4.9
2025-06-16,002174,13.21,13.21,13.68,13.13,575138,771475669.26,4.18,0.46,0.06,6.28
2025-06-17,002174,13.21,12.83,13.28,12.76,427155,554957187.76,3.94,-2.88,-0.38,4.67
2025-06-18,002174,12.83,12.53,12.86,12.32,427487,534804658.51,4.21,-2.34,-0.3,4.67
2025-06-19,002174,12.58,12.37,12.79,12.24,344184,429620164.97,4.39,-1.28,-0.16,3.76
2025-06-20,002174,12.43,11.9,12.5,11.78,405587,486701787.85,5.82,-3.8,-0.47,4.43
2025-06-23,002174,11.86,11.98,12.1,11.67,294603,350961912.44,3.61,0.67,0.08,3.22
2025-06-24,002174,12.16,12.15,12.33,12.06,334273,407222098.71,2.25,1.42,0.17,3.65
2025-06-25,002174,12.15,12.12,12.4,12.0,300757,365970378.04,3.29,-0.25,-0.03,3.29
2025-06-26,002174,12.1,11.83,12.1,11.65,320333,379047788.86,3.71,-2.39,-0.29,3.5
2025-06-27,002174,11.83,11.85,11.94,11.67,233275,275902603.24,2.28,0.17,0.02,2.55
2025-06-30,002174,11.98,12.13,12.39,11.91,469311,570933897.9,4.05,2.36,0.28,5.03
2025-07-01,002174,12.14,12.13,12.27,12.02,270112,328370402.65,2.06,0.0,0.0,2.89
2025-07-02,002174,12.13,12.01,12.35,11.91,268341,324787246.0,3.63,-0.99,-0.12,2.87
2025-07-03,002174,12.0,11.89,12.15,11.8,247530,294829370.4,2.91,-1.0,-0.12,2.65
2025-07-04,002174,11.93,12.14,12.33,11.79,367064,442634365.78,4.54,2.1,0.25,3.93
2025-07-07,002174,12.13,11.94,12.67,11.92,616414,754381433.58,6.18,-1.65,-0.2,6.6
2025-07-08,002174,11.99,12.14,12.33,11.8,379802,461030575.62,4.44,1.68,0.2,4.07
2025-07-09,002174,12.14,12.24,12.28,12.05,335839,408870499.17,1.89,0.82,0.1,3.6
2025-07-10,002174,12.27,12.22,12.48,12.13,380339,467738011.02,2.86,-0.16,-0.02,4.07
2025-07-11,002174,12.19,12.12,12.25,11.99,291475,352166956.8,2.13,-0.82,-0.1,3.12
2025-07-14,002174,12.08,12.62,12.7,11.9,673136,840529708.18,6.6,4.13,0.5,7.21
