日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-11,300087,11.44,10.63,11.51,10.6,1138426,1236001906.0,7.8,-8.83,-1.03,12.74
2025-04-14,300087,10.79,10.84,11.14,10.53,918740,989647949.0,5.74,1.98,0.21,10.28
2025-04-15,300087,10.76,10.44,10.84,10.36,661289,693995254.0,4.43,-3.69,-0.4,7.4
2025-04-16,300087,10.39,10.28,10.49,9.97,599333,613017870.0,4.98,-1.53,-0.16,6.71
2025-04-17,300087,10.14,10.11,10.31,10.04,355809,362272444.0,2.63,-1.65,-0.17,3.98
2025-04-18,300087,10.08,9.71,10.16,9.69,469658,459845422.0,4.65,-3.96,-0.4,5.26
2025-04-21,300087,9.72,9.78,9.84,9.65,275218,268501474.0,1.96,0.72,0.07,3.08
2025-04-22,300087,9.78,9.88,9.96,9.73,367853,362238928.0,2.35,1.02,0.1,4.12
2025-04-23,300087,9.81,9.57,9.83,9.54,427450,411879230.0,2.94,-3.14,-0.31,4.78
2025-04-24,300087,9.57,9.38,9.6,9.35,263678,249019531.0,2.61,-1.99,-0.19,2.95
2025-04-25,300087,9.38,9.36,9.46,9.36,164342,154371495.0,1.07,-0.21,-0.02,1.84
2025-04-28,300087,9.37,9.15,9.42,9.15,225451,208327647.0,2.88,-2.24,-0.21,2.52
2025-04-29,300087,9.0,9.27,9.35,8.88,249240,228457046.0,5.14,1.31,0.12,2.79
2025-04-30,300087,9.21,9.19,9.33,9.18,263662,243365888.0,1.62,-0.86,-0.08,2.95
2025-05-06,300087,9.2,9.32,9.35,9.2,267467,249104971.0,1.63,1.41,0.13,2.99
2025-05-07,300087,9.39,9.74,9.85,9.29,704814,674867479.0,6.01,4.51,0.42,7.89
2025-05-08,300087,9.56,9.55,9.61,9.4,387164,368573084.0,2.16,-1.95,-0.19,4.33
2025-05-09,300087,9.56,9.54,9.83,9.51,417441,403232958.0,3.35,-0.1,-0.01,4.67
2025-05-12,300087,9.31,9.34,9.37,9.19,386115,358352341.0,1.89,-2.1,-0.2,4.32
2025-05-13,300087,9.35,9.27,9.47,9.25,232960,217468683.0,2.36,-0.75,-0.07,2.61
2025-05-14,300087,9.23,9.3,9.36,9.22,186419,173095695.0,1.51,0.32,0.03,2.09
2025-05-15,300087,9.25,9.24,9.38,9.15,263758,244667659.0,2.47,-0.65,-0.06,2.95
2025-05-16,300087,9.2,9.13,9.22,9.08,215690,196969804.0,1.52,-1.19,-0.11,2.41
2025-05-19,300087,9.57,9.35,9.69,9.28,360817,339973014.0,4.49,2.41,0.22,4.04
2025-05-20,300087,9.36,9.39,9.56,9.32,315734,298469429.0,2.57,0.43,0.04,3.53
2025-05-21,300087,9.39,9.34,9.49,9.27,223466,209059184.0,2.34,-0.53,-0.05,2.5
2025-05-22,300087,9.3,9.17,9.42,9.16,201887,186887972.0,2.78,-1.82,-0.17,2.26
2025-05-23,300087,9.17,9.04,9.19,9.02,172215,156803340.0,1.85,-1.42,-0.13,1.93
2025-05-26,300087,9.04,9.15,9.15,8.99,109833,99926301.0,1.77,1.22,0.11,1.23
2025-05-27,300087,9.11,9.27,9.3,9.1,157113,144889429.0,2.19,1.31,0.12,1.76
2025-05-28,300087,9.27,9.05,9.27,9.03,166765,151618177.0,2.59,-2.37,-0.22,1.87
2025-05-29,300087,9.04,9.08,9.11,8.99,125395,113593189.0,1.33,0.33,0.03,1.4
2025-05-30,300087,9.07,9.12,9.15,9.04,146969,133687760.0,1.21,0.44,0.04,1.64
2025-06-03,300087,9.12,9.19,9.25,9.02,154187,141330838.0,2.52,0.77,0.07,1.73
2025-06-04,300087,9.18,9.23,9.25,9.1,157301,144497117.0,1.63,0.44,0.04,1.76
2025-06-05,300087,9.19,9.21,9.27,9.16,141703,130374342.0,1.19,-0.22,-0.02,1.59
2025-06-06,300087,9.18,9.18,9.3,9.16,176141,162439839.0,1.52,-0.33,-0.03,1.97
2025-06-09,300087,9.15,9.19,9.21,9.11,133300,122283420.0,1.09,0.11,0.01,1.49
2025-06-10,300087,9.19,9.59,10.25,9.01,735955,703591759.71,13.49,4.35,0.4,8.23
