日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-11,301206,29.0,27.63,29.35,27.34,183366,534142247.0,6.93,-4.76,-1.38,17.04
2025-04-14,301206,27.12,27.55,27.76,26.93,101640,287690246.0,3.0,-0.29,-0.08,9.45
2025-04-15,301206,27.41,27.1,28.47,27.08,102885,295224410.0,5.05,-1.63,-0.45,9.56
2025-04-16,301206,26.71,28.47,28.47,26.07,114472,324990179.0,8.86,5.06,1.37,10.64
2025-04-17,301206,27.97,27.53,27.97,27.03,79720,227006657.0,3.3,-3.3,-0.94,7.41
2025-04-18,301206,27.19,26.36,27.51,26.32,51022,141635498.0,4.32,-4.25,-1.17,4.74
2025-04-21,301206,26.03,26.69,26.79,26.03,33612,92542735.0,2.88,1.25,0.33,3.12
2025-04-22,301206,26.4,27.46,28.01,26.19,68115,192519917.0,6.82,2.88,0.77,6.33
2025-04-23,301206,27.02,26.77,27.4,26.58,46801,130368937.0,2.99,-2.51,-0.69,4.35
2025-04-24,301206,26.64,27.88,28.29,26.57,85077,243087111.0,6.43,4.15,1.11,7.91
2025-04-25,301206,27.51,27.11,28.41,27.09,80715,231500228.0,4.73,-2.76,-0.77,7.5
2025-04-28,301206,26.61,24.71,26.61,24.32,74819,195466783.0,8.45,-8.85,-2.4,6.95
2025-04-29,301206,25.22,24.86,25.39,24.59,37359,96872400.0,3.24,0.61,0.15,3.47
2025-04-30,301206,24.93,24.92,25.28,24.62,32003,82986779.0,2.65,0.24,0.06,2.97
2025-05-06,301206,25.06,25.67,25.69,24.97,41578,109759929.0,2.89,3.01,0.75,3.86
2025-05-07,301206,25.67,27.03,27.34,25.67,73850,204143684.0,6.51,5.3,1.36,6.86
2025-05-08,301206,26.81,26.91,26.98,26.42,43832,121635041.0,2.07,-0.44,-0.12,4.07
2025-05-09,301206,26.91,27.75,28.34,26.42,79259,225473217.0,7.13,3.12,0.84,7.37
2025-05-12,301206,27.53,27.33,27.59,27.02,56761,160301789.0,2.05,-1.51,-0.42,5.27
2025-05-13,301206,27.34,26.97,27.48,26.72,39079,109237178.0,2.78,-1.32,-0.36,3.63
2025-05-14,301206,26.81,26.79,27.01,26.54,30986,86036515.0,1.74,-0.67,-0.18,2.88
2025-05-15,301206,26.58,27.81,28.19,26.51,87004,248628071.0,6.27,3.81,1.02,8.09
2025-05-16,301206,27.46,28.06,28.47,27.04,79939,230181733.0,5.14,0.9,0.25,7.43
2025-05-19,301206,28.1,29.5,30.85,28.1,131221,402509169.0,9.8,5.13,1.44,12.19
2025-05-20,301206,29.29,29.61,30.14,28.7,109146,331290121.0,4.88,0.37,0.11,10.14
2025-05-21,301206,29.31,31.16,32.5,29.1,132699,419984909.0,11.48,5.23,1.55,12.33
2025-05-22,301206,30.71,28.79,30.78,28.65,109556,334838607.0,6.84,-7.61,-2.37,10.18
2025-05-23,301206,28.6,27.93,29.16,27.76,70814,208478311.0,4.86,-2.99,-0.86,6.58
2025-05-26,301206,27.7,28.88,28.93,27.54,57898,170272382.0,4.98,3.4,0.95,5.38
2025-05-27,301206,28.88,29.71,30.69,28.71,84760,261579670.0,6.86,2.87,0.83,7.88
2025-05-28,301206,29.72,28.61,29.86,28.53,68154,203747097.0,4.48,-3.7,-1.1,6.33
2025-05-29,301206,28.59,28.55,28.87,28.01,48063,141815346.0,3.01,-0.21,-0.06,4.47
2025-05-30,301206,28.51,28.23,28.67,27.89,39353,115004547.0,2.73,-1.12,-0.32,3.66
2025-06-03,301206,28.06,29.44,29.49,27.84,60145,180170210.0,5.84,4.29,1.21,5.59
2025-06-04,301206,29.42,29.31,29.44,28.94,43642,131599995.0,1.7,-0.44,-0.13,4.06
2025-06-05,301206,29.31,30.14,30.65,28.61,72658,223089075.0,6.96,2.83,0.83,6.75
2025-06-06,301206,30.0,29.74,30.2,29.31,51049,151506635.0,2.95,-1.33,-0.4,4.74
2025-06-09,301206,29.75,29.88,30.3,29.61,43710,131133922.0,2.32,0.47,0.14,4.06
2025-06-10,301206,29.63,31.14,31.15,29.24,97357,294357643.5,6.39,4.22,1.26,9.05
