日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-11,000767,2.56,2.57,2.59,2.54,285150,73169835.0,1.95,0.0,0.0,0.98
2025-04-14,000767,2.58,2.63,2.63,2.57,299610,78284620.2,2.33,2.33,0.06,1.03
2025-04-15,000767,2.64,2.66,2.67,2.61,316755,83686592.4,2.28,1.14,0.03,1.09
2025-04-16,000767,2.65,2.68,2.71,2.62,378130,100849633.79,3.38,0.75,0.02,1.3
2025-04-17,000767,2.66,2.69,2.7,2.64,308895,82772663.12,2.24,0.37,0.01,1.06
2025-04-18,000767,2.68,2.65,2.69,2.63,208583,55331160.98,2.23,-1.49,-0.04,0.72
2025-04-21,000767,2.65,2.71,2.72,2.64,266786,71759084.45,3.02,2.26,0.06,0.92
2025-04-22,000767,2.7,2.68,2.74,2.68,218448,59182114.0,2.21,-1.11,-0.03,0.75
2025-04-23,000767,2.7,2.68,2.71,2.65,203716,54505824.16,2.24,0.0,0.0,0.7
2025-04-24,000767,2.67,2.81,2.89,2.66,824086,228913435.35,8.58,4.85,0.13,2.83
2025-04-25,000767,2.81,2.9,2.95,2.79,1348524,389858526.26,5.69,3.2,0.09,4.63
2025-04-28,000767,2.93,2.89,2.95,2.83,908100,262833889.35,4.14,-0.34,-0.01,3.12
2025-04-29,000767,2.85,2.76,2.87,2.73,744434,207361514.0,4.84,-4.5,-0.13,2.56
2025-04-30,000767,2.7,2.65,2.77,2.65,543182,146094060.44,4.35,-3.99,-0.11,1.87
2025-05-06,000767,2.65,2.85,2.86,2.64,775257,215175029.55,8.3,7.55,0.2,2.66
2025-05-07,000767,2.88,2.81,2.89,2.8,482779,136293720.26,3.16,-1.4,-0.04,1.66
2025-05-08,000767,2.82,2.82,2.86,2.79,461971,131013071.01,2.49,0.36,0.01,1.59
2025-05-09,000767,2.81,3.1,3.1,2.8,1431922,432546560.32,10.64,9.93,0.28,4.92
2025-05-12,000767,3.12,2.99,3.16,2.98,2026268,612831623.8,5.81,-3.55,-0.11,6.96
2025-05-13,000767,3.0,3.29,3.29,2.94,2304593,718087881.28,11.71,10.03,0.3,7.91
2025-05-14,000767,3.26,3.35,3.6,3.16,3388811,1141534881.91,13.37,1.82,0.06,11.64
2025-05-15,000767,3.31,3.5,3.6,3.25,2865287,988291734.89,10.45,4.48,0.15,9.84
2025-05-16,000767,3.38,3.33,3.47,3.31,1967358,660082458.52,4.57,-4.86,-0.17,6.76
2025-05-19,000767,3.28,3.24,3.39,3.2,1669605,545768855.83,5.71,-2.7,-0.09,5.73
2025-05-20,000767,3.25,3.38,3.38,3.17,2048420,674457190.64,6.48,4.32,0.14,7.03
2025-05-21,000767,3.32,3.39,3.6,3.28,2584729,889253356.4,9.47,0.3,0.01,8.88
2025-05-22,000767,3.31,3.15,3.33,3.1,1850660,592663199.4,6.78,-7.08,-0.24,6.35
2025-05-23,000767,3.1,3.02,3.11,3.02,1097105,334835803.71,2.86,-4.13,-0.13,3.77
2025-05-26,000767,3.0,3.04,3.05,2.98,748006,225171695.37,2.32,0.66,0.02,2.57
2025-05-27,000767,3.01,3.02,3.04,2.98,668635,201230308.57,1.97,-0.66,-0.02,2.3
2025-05-28,000767,3.0,2.96,3.02,2.94,675185,200611141.89,2.65,-1.99,-0.06,2.32
2025-05-29,000767,2.96,2.99,3.02,2.95,538209,161212733.16,2.36,1.01,0.03,1.85
2025-05-30,000767,3.0,2.91,3.03,2.9,634325,186624424.36,4.35,-2.68,-0.08,2.18
2025-06-03,000767,2.88,2.94,2.94,2.88,467036,135897698.84,2.06,1.03,0.03,1.6
2025-06-04,000767,2.92,2.93,2.94,2.9,386363,112744974.64,1.36,-0.34,-0.01,1.33
2025-06-05,000767,2.95,2.91,2.97,2.89,453301,132403819.0,2.73,-0.68,-0.02,1.56
2025-06-06,000767,2.91,2.89,2.92,2.89,333128,96614361.67,1.03,-0.69,-0.02,1.14
2025-06-09,000767,2.9,2.93,2.93,2.89,383873,111868051.45,1.38,1.38,0.04,1.32
2025-06-10,000767,2.92,3.05,3.06,2.89,1245092,370764732.18,5.8,4.1,0.12,4.28
