日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,601606,12.36,12.15,12.39,12.03,136558,165938058.0,2.89,-2.33,-0.29,1.89
2025-04-16,601606,12.14,11.99,12.28,11.84,121538,146412993.0,3.62,-1.32,-0.16,1.68
2025-04-17,601606,12.0,12.07,12.25,11.97,115043,139674377.0,2.34,0.67,0.08,1.59
2025-04-18,601606,12.0,11.92,12.02,11.85,80743,96293225.0,1.41,-1.24,-0.15,1.11
2025-04-21,601606,11.92,12.07,12.11,11.89,72873,87776525.0,1.85,1.26,0.15,1.01
2025-04-22,601606,12.03,12.02,12.08,11.96,74640,89688987.0,0.99,-0.41,-0.05,1.03
2025-04-23,601606,11.98,11.91,12.05,11.87,93376,111321263.0,1.5,-0.92,-0.11,1.29
2025-04-24,601606,11.91,11.72,11.93,11.63,85877,100895391.0,2.52,-1.6,-0.19,1.19
2025-04-25,601606,11.78,11.71,11.78,11.64,61606,72171325.0,1.19,-0.09,-0.01,0.85
2025-04-28,601606,11.71,11.56,11.71,11.49,62895,72701613.0,1.88,-1.28,-0.15,0.87
2025-04-29,601606,11.46,11.86,12.1,11.41,150062,177956263.0,5.97,2.6,0.3,2.07
2025-04-30,601606,11.8,12.04,12.08,11.78,131394,157292633.0,2.53,1.52,0.18,1.81
2025-05-06,601606,11.98,12.19,12.2,11.98,133425,161556474.0,1.83,1.25,0.15,1.84
2025-05-07,601606,12.5,12.95,13.3,12.41,565216,731724751.0,7.3,6.23,0.76,7.8
2025-05-08,601606,12.8,13.05,13.05,12.61,438899,562979770.0,3.4,0.77,0.1,6.06
2025-05-09,601606,13.08,13.11,13.26,12.67,382203,496738460.0,4.52,0.46,0.06,5.28
2025-05-12,601606,12.84,13.63,13.63,12.83,558900,746592156.0,6.1,3.97,0.52,7.72
2025-05-13,601606,13.62,13.59,14.0,13.39,619187,844764112.0,4.48,-0.29,-0.04,8.55
2025-05-14,601606,13.63,14.03,14.95,13.63,719403,1024006989.0,9.71,3.24,0.44,9.93
2025-05-15,601606,13.94,13.26,13.96,13.25,458282,617606517.0,5.06,-5.49,-0.77,6.33
2025-05-16,601606,13.29,13.35,13.8,13.22,421330,567781843.0,4.37,0.68,0.09,5.82
2025-05-19,601606,13.5,13.54,13.6,13.18,243981,326224046.0,3.15,1.42,0.19,3.37
2025-05-20,601606,13.5,13.43,13.66,13.24,218022,292327423.0,3.1,-0.81,-0.11,3.01
2025-05-21,601606,13.34,13.39,14.01,13.22,287532,387533141.0,5.88,-0.3,-0.04,3.97
2025-05-22,601606,13.26,13.98,14.38,13.07,612599,850686256.0,9.78,4.41,0.59,8.46
2025-05-23,601606,13.88,13.55,13.97,13.51,308870,423027003.0,3.29,-3.08,-0.43,4.26
2025-05-26,601606,13.56,13.79,13.87,13.33,237565,324144574.0,3.99,1.77,0.24,3.28
2025-05-27,601606,13.75,13.66,13.78,13.49,167696,227904390.0,2.1,-0.94,-0.13,2.32
2025-05-28,601606,13.6,13.36,13.65,13.26,147441,197276954.0,2.86,-2.2,-0.3,2.04
2025-05-29,601606,13.34,13.44,13.59,13.25,130340,175352922.0,2.54,0.6,0.08,1.8
2025-05-30,601606,13.33,13.43,13.65,13.28,174913,235207502.0,2.75,-0.07,-0.01,2.42
2025-06-03,601606,13.42,13.57,13.67,13.35,188227,255049031.0,2.38,1.04,0.14,2.6
2025-06-04,601606,13.57,13.48,13.66,13.42,145476,196669693.0,1.77,-0.66,-0.09,2.01
2025-06-05,601606,13.68,14.18,14.48,13.46,565271,792732093.0,7.57,5.19,0.7,7.81
2025-06-06,601606,13.96,13.4,13.97,13.38,397777,541797009.0,4.16,-5.5,-0.78,5.49
2025-06-09,601606,13.42,13.5,13.66,13.42,221255,299289721.0,1.79,0.75,0.1,3.06
2025-06-10,601606,13.5,13.19,13.5,12.96,233104,307535564.0,4.0,-2.3,-0.31,3.22
2025-06-11,601606,13.2,13.16,13.22,13.05,113853,149800532.0,1.29,-0.23,-0.03,1.57
2025-06-12,601606,13.12,12.91,13.14,12.89,132155,171585047.0,1.9,-1.9,-0.25,1.82
2025-06-13,601606,13.18,13.39,13.62,13.0,419624,557620488.0,4.8,3.72,0.48,5.79
