日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-10,300067,5.45,5.41,5.64,5.41,1112943,613372288.0,4.31,1.31,0.07,11.87
2025-04-11,300067,5.31,5.39,5.52,5.28,772142,417635110.0,4.44,-0.37,-0.02,8.24
2025-04-14,300067,5.6,5.46,5.67,5.41,932863,515930706.0,4.82,1.3,0.07,9.95
2025-04-15,300067,5.42,5.5,5.58,5.32,847834,461783604.0,4.76,0.73,0.04,9.04
2025-04-16,300067,5.4,5.27,5.42,5.18,708027,374116749.0,4.36,-4.18,-0.23,7.55
2025-04-17,300067,5.16,5.14,5.32,5.14,545878,285001787.0,3.42,-2.47,-0.13,5.82
2025-04-18,300067,5.16,5.14,5.18,5.07,432587,221938309.0,2.14,0.0,0.0,4.61
2025-04-21,300067,5.17,5.28,5.28,5.14,524877,274023512.0,2.72,2.72,0.14,5.6
2025-04-22,300067,5.3,5.36,5.5,5.3,767185,413942444.0,3.79,1.52,0.08,8.18
2025-04-23,300067,5.41,5.47,5.53,5.31,781510,423011014.0,4.1,2.05,0.11,8.34
2025-04-24,300067,5.41,5.21,5.42,5.2,593765,314716256.0,4.02,-4.75,-0.26,6.33
2025-04-25,300067,5.21,5.17,5.28,5.15,496183,258079392.0,2.5,-0.77,-0.04,5.29
2025-04-28,300067,5.12,5.12,5.22,5.12,292219,150673682.0,1.93,-0.97,-0.05,3.12
2025-04-29,300067,5.1,5.23,5.3,5.05,467202,243132016.0,4.88,2.15,0.11,4.98
2025-04-30,300067,5.25,5.22,5.31,5.18,440651,230992043.0,2.49,-0.19,-0.01,4.7
2025-05-06,300067,5.26,5.48,5.48,5.25,745696,402986506.0,4.41,4.98,0.26,7.95
2025-05-07,300067,5.55,5.45,5.58,5.37,675761,368770041.0,3.83,-0.55,-0.03,7.21
2025-05-08,300067,5.41,5.53,5.57,5.4,619244,341380686.0,3.12,1.47,0.08,6.61
2025-05-09,300067,5.62,5.36,5.65,5.33,720505,391600561.0,5.79,-3.07,-0.17,7.69
2025-05-12,300067,5.4,5.51,5.53,5.37,610628,333451539.0,2.99,2.8,0.15,6.51
2025-05-13,300067,5.57,5.47,5.64,5.45,625895,345989795.0,3.45,-0.73,-0.04,6.68
2025-05-14,300067,5.46,5.58,5.68,5.46,883193,491865454.0,4.02,2.01,0.11,9.42
2025-05-15,300067,5.52,5.37,5.53,5.36,559275,302952490.0,3.05,-3.76,-0.21,5.97
2025-05-16,300067,5.34,5.48,5.65,5.28,732523,402250574.0,6.89,2.05,0.11,7.81
2025-05-19,300067,5.42,5.58,5.58,5.35,739198,405826185.0,4.2,1.82,0.1,7.88
2025-05-20,300067,5.56,5.7,5.74,5.53,851476,483247830.0,3.76,2.15,0.12,9.08
2025-05-21,300067,5.65,5.52,5.66,5.51,578209,321725429.0,2.63,-3.16,-0.18,6.17
2025-05-22,300067,5.48,5.4,5.54,5.37,458739,249345753.0,3.08,-2.17,-0.12,4.89
2025-05-23,300067,5.39,5.25,5.4,5.24,462636,246133813.0,2.96,-2.78,-0.15,4.93
2025-05-26,300067,5.2,5.3,5.31,5.2,286681,151263898.0,2.1,0.95,0.05,3.06
2025-05-27,300067,5.3,5.25,5.3,5.2,324454,169901825.0,1.89,-0.94,-0.05,3.46
2025-05-28,300067,5.28,5.76,6.06,5.28,2037728,1174512397.0,14.86,9.71,0.51,21.74
2025-05-29,300067,5.6,5.66,5.71,5.53,1316945,739958706.0,3.13,-1.74,-0.1,14.05
2025-05-30,300067,5.67,5.51,5.78,5.48,930328,518162894.0,5.3,-2.65,-0.15,9.92
2025-06-03,300067,5.46,5.54,5.59,5.42,549620,303423782.0,3.09,0.54,0.03,5.86
2025-06-04,300067,5.52,5.58,5.64,5.51,567205,316310312.0,2.35,0.72,0.04,6.05
2025-06-05,300067,5.55,5.62,5.65,5.54,576778,323111003.0,1.97,0.72,0.04,6.15
2025-06-06,300067,5.62,5.62,5.68,5.52,568433,318080324.0,2.85,0.0,0.0,6.06
2025-06-09,300067,5.63,5.89,5.96,5.61,876778,506316966.2,6.23,4.8,0.27,9.35
