日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-08,605088,29.55,27.78,29.55,27.78,67734,189816641.0,5.73,-10.01,-3.09,3.81
2025-04-09,605088,26.43,28.28,28.7,25.0,121781,327393821.0,13.32,1.8,0.5,6.84
2025-04-10,605088,29.2,31.11,31.11,29.2,56152,171279894.0,6.75,10.01,2.83,3.16
2025-04-11,605088,31.11,31.11,32.46,30.39,97831,307514698.0,6.65,0.0,0.0,5.5
2025-04-14,605088,31.99,32.02,33.3,31.45,69092,223665052.0,5.95,2.93,0.91,3.88
2025-04-15,605088,33.0,32.2,33.93,31.87,84217,277149067.0,6.43,0.56,0.18,4.73
2025-04-16,605088,32.04,31.62,32.66,30.92,54741,174062696.0,5.4,-1.8,-0.58,3.08
2025-04-17,605088,31.81,31.48,32.83,31.45,33818,108398448.0,4.36,-0.44,-0.14,1.9
2025-04-18,605088,31.44,31.07,31.81,30.83,31351,97602787.0,3.11,-1.3,-0.41,1.76
2025-04-21,605088,31.5,32.78,32.87,30.71,52308,168506772.0,6.95,5.5,1.71,2.94
2025-04-22,605088,32.7,32.0,32.88,31.8,34000,109162510.0,3.29,-2.38,-0.78,1.91
2025-04-23,605088,32.77,34.21,34.5,32.3,74360,249288479.0,6.88,6.91,2.21,4.18
2025-04-24,605088,34.22,32.79,34.6,32.68,69460,232874598.0,5.61,-4.15,-1.42,3.9
2025-04-25,605088,32.79,32.64,33.57,31.86,71838,233715862.0,5.22,-0.46,-0.15,4.04
2025-04-28,605088,32.5,32.2,32.99,32.03,41868,135572799.0,2.94,-1.35,-0.44,2.35
2025-04-29,605088,32.86,34.38,34.8,32.42,92084,312427384.0,7.39,6.77,2.18,5.17
2025-04-30,605088,34.76,37.18,37.61,34.76,99519,360387235.0,8.29,8.14,2.8,5.56
2025-05-06,605088,37.5,38.61,38.93,37.18,83253,316643468.0,4.71,3.85,1.43,4.65
2025-05-07,605088,38.56,38.5,39.26,37.7,66440,254426475.0,4.04,-0.28,-0.11,3.71
2025-05-08,605088,38.3,38.52,38.65,37.89,41026,157240920.0,1.97,0.05,0.02,2.29
2025-05-09,605088,38.48,38.04,38.56,36.41,58742,219557128.0,5.58,-1.25,-0.48,3.28
2025-05-12,605088,41.09,39.47,41.84,39.0,137940,558852745.0,7.47,3.76,1.43,7.7
2025-05-13,605088,39.06,39.0,40.6,39.0,98724,391304414.0,4.05,-1.19,-0.47,5.51
2025-05-14,605088,38.87,38.31,39.25,37.78,64697,248373254.0,3.77,-1.77,-0.69,3.61
2025-05-15,605088,38.05,37.48,38.29,37.0,38115,142927787.0,3.37,-2.17,-0.83,2.13
2025-05-16,605088,37.08,38.73,39.64,37.08,64418,249608982.0,6.83,3.34,1.25,3.6
2025-05-19,605088,38.15,37.5,38.69,36.5,68281,254058087.0,5.65,-3.18,-1.23,3.78
2025-05-20,605088,37.39,37.49,38.15,37.08,32707,123125494.0,2.85,-0.03,-0.01,1.81
2025-05-21,605088,37.48,37.65,38.9,36.83,69295,262267462.0,5.52,0.43,0.16,3.84
2025-05-22,605088,37.09,36.43,37.66,36.4,49175,181187077.0,3.35,-3.24,-1.22,2.73
2025-05-23,605088,36.26,35.95,37.16,35.9,31993,116599598.0,3.46,-1.32,-0.48,1.77
2025-05-26,605088,35.78,35.25,35.79,35.0,34177,120758019.0,2.2,-1.95,-0.7,1.89
2025-05-27,605088,35.29,34.78,35.59,34.45,30645,106849796.0,3.23,-1.33,-0.47,1.7
2025-05-28,605088,34.82,34.9,35.68,34.55,31130,109102514.0,3.25,0.35,0.12,1.73
2025-05-29,605088,35.0,35.29,35.65,34.53,30145,106580892.0,3.21,1.12,0.39,1.67
2025-05-30,605088,35.1,33.74,35.1,33.69,33189,113218663.0,4.0,-4.39,-1.55,1.84
2025-06-03,605088,33.42,33.92,34.17,33.42,28507,96013180.0,2.22,0.53,0.18,1.58
2025-06-04,605088,34.0,35.2,35.67,34.0,49563,172796371.0,4.92,3.77,1.28,2.75
2025-06-05,605088,35.15,35.32,35.57,34.58,33460,117554335.0,2.81,0.34,0.12,1.85
2025-06-06,605088,35.28,36.42,37.13,35.28,92963,340002421.0,5.24,3.11,1.1,5.15
