日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-14,002062,4.59,4.66,4.72,4.59,152967,72924086.04,2.85,2.19,0.1,1.55
2025-04-15,002062,4.65,4.6,4.68,4.55,97182,45549485.02,2.79,-1.29,-0.06,0.98
2025-04-16,002062,4.59,4.48,4.6,4.41,111784,51245962.36,4.13,-2.61,-0.12,1.13
2025-04-17,002062,4.42,4.53,4.58,4.42,81861,37847692.0,3.57,1.12,0.05,0.83
2025-04-18,002062,4.53,4.68,4.77,4.52,152166,72351792.48,5.52,3.31,0.15,1.54
2025-04-21,002062,4.65,4.7,4.73,4.58,119961,57272891.0,3.21,0.43,0.02,1.21
2025-04-22,002062,4.68,4.74,4.8,4.66,94718,45881009.4,2.98,0.85,0.04,0.96
2025-04-23,002062,4.75,4.82,4.85,4.72,124843,61027852.0,2.74,1.69,0.08,1.26
2025-04-24,002062,4.78,4.91,4.95,4.78,143400,71704907.6,3.53,1.87,0.09,1.45
2025-04-25,002062,4.88,4.79,4.88,4.69,173297,84727396.6,3.87,-2.44,-0.12,1.75
2025-04-28,002062,4.79,4.6,4.82,4.57,172739,82052876.69,5.22,-3.97,-0.19,1.74
2025-04-29,002062,4.58,4.7,4.73,4.55,107088,50834635.6,3.91,2.17,0.1,1.08
2025-04-30,002062,4.7,4.66,4.78,4.66,99223,47768800.6,2.55,-0.85,-0.04,1.0
2025-05-06,002062,4.74,4.85,4.86,4.71,113616,55706059.0,3.22,4.08,0.19,1.15
2025-05-07,002062,4.93,4.89,4.98,4.85,126465,63373078.4,2.68,0.82,0.04,1.28
2025-05-08,002062,4.88,4.95,4.96,4.82,99934,49917783.8,2.86,1.23,0.06,1.01
2025-05-09,002062,4.93,4.84,5.01,4.82,131797,65901351.0,3.84,-2.22,-0.11,1.33
2025-05-12,002062,4.84,4.87,4.9,4.81,106772,52900135.0,1.86,0.62,0.03,1.08
2025-05-13,002062,4.91,4.84,4.94,4.8,92229,45735737.0,2.87,-0.62,-0.03,0.93
2025-05-14,002062,4.83,4.77,4.83,4.73,86442,42104820.0,2.07,-1.45,-0.07,0.87
2025-05-15,002062,4.76,4.7,4.8,4.7,68206,33036776.0,2.1,-1.47,-0.07,0.69
2025-05-16,002062,4.74,4.7,4.78,4.7,76776,37039462.23,1.7,0.0,0.0,0.78
2025-05-19,002062,4.73,5.06,5.17,4.7,472763,241499067.1,10.0,7.66,0.36,4.78
2025-05-20,002062,5.01,4.9,5.03,4.87,252313,126484411.0,3.16,-3.16,-0.16,2.55
2025-05-21,002062,4.88,4.85,4.89,4.8,183783,90826700.0,1.84,-1.02,-0.05,1.86
2025-05-22,002062,4.8,4.72,4.83,4.7,163204,79192441.48,2.68,-2.68,-0.13,1.65
2025-05-23,002062,4.73,4.62,4.73,4.61,143228,68329074.0,2.54,-2.12,-0.1,1.45
2025-05-26,002062,4.63,4.63,4.65,4.6,94307,44553605.0,1.08,0.22,0.01,0.95
2025-05-27,002062,4.64,4.58,4.64,4.56,90727,42462843.0,1.73,-1.08,-0.05,0.92
2025-05-28,002062,4.56,4.58,4.61,4.53,71881,33560018.0,1.75,0.0,0.0,0.73
2025-05-29,002062,4.59,4.63,4.64,4.57,78631,37134575.8,1.53,1.09,0.05,0.79
2025-05-30,002062,4.65,4.55,4.65,4.51,86811,40429781.09,3.02,-1.73,-0.08,0.88
2025-06-03,002062,4.55,4.6,4.62,4.52,75459,35260365.4,2.2,1.1,0.05,0.76
2025-06-04,002062,4.6,4.63,4.69,4.58,85598,40627117.0,2.39,0.65,0.03,0.86
2025-06-05,002062,4.67,4.64,4.67,4.62,70198,32537778.64,1.08,0.22,0.01,0.71
2025-06-06,002062,4.65,4.59,4.66,4.57,83693,38450958.0,1.94,-1.08,-0.05,0.85
2025-06-09,002062,4.59,4.61,4.63,4.56,82982,38091590.38,1.53,0.44,0.02,0.84
2025-06-10,002062,4.53,4.31,4.6,4.23,718066,310188617.75,8.03,-6.51,-0.3,6.38
2025-06-11,002062,4.3,4.44,4.52,4.26,524089,231343634.27,6.03,3.02,0.13,4.66
