日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-10,301325,49.66,49.64,51.48,49.42,55092,276955720.0,4.31,3.81,1.82,9.52
2025-04-11,301325,48.8,50.6,51.3,48.61,41224,207686927.0,5.42,1.93,0.96,7.12
2025-04-14,301325,51.59,50.82,51.95,50.59,34419,176391186.0,2.69,0.43,0.22,5.95
2025-04-15,301325,51.0,51.24,52.4,50.64,47932,246588021.0,3.46,0.83,0.42,8.28
2025-04-16,301325,50.7,50.71,52.45,49.84,43404,222115885.0,5.09,-1.03,-0.53,7.5
2025-04-17,301325,50.5,49.76,51.35,49.76,30632,154480533.0,3.14,-1.87,-0.95,5.29
2025-04-18,301325,49.6,49.07,50.19,48.9,23166,114310239.0,2.59,-1.39,-0.69,4.0
2025-04-21,301325,49.01,50.74,50.93,48.39,30628,152855761.0,5.18,3.4,1.67,5.29
2025-04-22,301325,50.74,49.94,51.33,49.8,24929,125692928.0,3.02,-1.58,-0.8,4.31
2025-04-23,301325,50.8,52.34,52.95,50.44,54755,283833683.0,5.03,4.81,2.4,9.46
2025-04-24,301325,52.24,50.4,52.24,50.1,37302,190212155.0,4.09,-3.71,-1.94,6.44
2025-04-25,301325,50.1,49.96,50.8,49.63,27462,137822961.0,2.32,-0.87,-0.44,4.74
2025-04-28,301325,49.8,48.76,50.22,48.5,24973,122283333.0,3.44,-2.4,-1.2,4.31
2025-04-29,301325,47.89,49.92,50.48,47.79,32183,159601711.0,5.52,2.38,1.16,5.56
2025-04-30,301325,49.72,52.0,52.51,49.72,41905,215869732.0,5.59,4.17,2.08,7.24
2025-05-06,301325,52.01,54.08,54.1,52.01,39785,211506488.0,4.02,4.0,2.08,6.87
2025-05-07,301325,55.0,53.69,55.52,53.08,39971,216560379.0,4.51,-0.72,-0.39,6.9
2025-05-08,301325,53.69,54.07,54.76,53.52,25432,137750521.0,2.31,0.71,0.38,4.39
2025-05-09,301325,54.38,52.62,54.4,52.02,28594,150813286.0,4.4,-2.68,-1.45,4.94
2025-05-12,301325,55.0,59.58,60.97,54.88,119249,689543304.0,11.57,13.23,6.96,20.6
2025-05-13,301325,58.58,60.24,61.6,58.08,107004,642110983.0,5.91,1.11,0.66,18.48
2025-05-14,301325,59.99,58.49,59.99,57.8,70012,409495310.0,3.64,-2.91,-1.75,12.09
2025-05-15,301325,57.89,55.94,58.27,55.81,51130,289897486.0,4.21,-4.36,-2.55,8.83
2025-05-16,301325,55.89,57.5,59.49,55.82,59109,340663855.0,6.56,2.79,1.56,10.21
2025-05-19,301325,58.49,57.53,58.5,56.51,42399,243666537.0,3.46,0.05,0.03,7.32
2025-05-20,301325,57.51,57.14,58.98,56.65,44697,257660731.0,4.05,-0.68,-0.39,7.72
2025-05-21,301325,56.06,58.77,60.48,55.95,88343,519541755.0,7.93,2.85,1.63,15.26
2025-05-22,301325,57.8,55.45,58.72,55.41,58622,331427551.0,5.63,-5.65,-3.32,10.13
2025-05-23,301325,55.76,54.25,56.28,54.13,34897,192721058.0,3.88,-2.16,-1.2,6.03
2025-05-26,301325,54.1,54.8,55.06,53.81,24252,132423936.0,2.3,1.01,0.55,4.19
2025-05-27,301325,54.76,54.68,55.74,53.67,35465,193526291.0,3.78,-0.22,-0.12,6.13
2025-05-28,301325,54.35,53.34,54.69,52.9,32621,174694632.0,3.27,-2.45,-1.34,5.63
2025-05-29,301325,53.34,54.07,54.53,53.01,25911,140014408.0,2.85,1.37,0.73,4.48
2025-05-30,301325,54.15,52.27,54.15,51.8,29534,154988030.0,4.35,-3.33,-1.8,5.1
2025-06-03,301325,51.66,52.27,52.67,51.34,16716,87460915.0,2.54,0.0,0.0,2.89
2025-06-04,301325,52.48,53.3,53.99,52.4,26473,141089117.0,3.04,1.97,1.03,4.57
2025-06-05,301325,53.28,53.68,54.0,52.42,24368,129882753.0,2.96,0.71,0.38,4.21
2025-06-06,301325,53.3,53.76,54.98,53.15,29135,157656964.0,3.41,0.15,0.08,5.03
2025-06-09,301325,53.81,56.49,57.28,53.5,59277,333219352.96,7.03,5.08,2.73,10.24
