日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-15,600179,3.12,3.05,3.16,3.04,736080,227782316.0,3.88,-1.29,-0.04,1.97
2025-05-16,600179,3.04,3.01,3.06,2.99,518332,156203448.0,2.3,-1.31,-0.04,1.38
2025-05-19,600179,3.03,3.12,3.22,3.03,955454,298489667.0,6.31,3.65,0.11,2.55
2025-05-20,600179,3.12,3.07,3.15,3.02,644657,197323793.0,4.17,-1.6,-0.05,1.72
2025-05-21,600179,3.05,3.05,3.07,3.03,323435,98531705.0,1.3,-0.65,-0.02,0.86
2025-05-22,600179,3.03,3.02,3.04,2.99,348613,104885714.0,1.64,-0.98,-0.03,0.93
2025-05-23,600179,3.01,2.96,3.02,2.96,331897,99258768.0,1.99,-1.99,-0.06,0.89
2025-05-26,600179,2.94,2.96,2.99,2.93,242161,71801331.0,2.03,0.0,0.0,0.65
2025-05-27,600179,2.96,2.98,2.99,2.95,220464,65402813.0,1.35,0.68,0.02,0.59
2025-05-28,600179,2.83,2.73,2.85,2.7,1185517,327282870.0,5.03,-8.39,-0.25,3.17
2025-05-29,600179,2.72,2.78,2.79,2.72,667424,185069040.0,2.56,1.83,0.05,1.78
2025-05-30,600179,2.77,2.74,2.83,2.73,428138,118101351.0,3.6,-1.44,-0.04,1.14
2025-06-03,600179,2.73,2.74,2.77,2.71,390481,106800242.0,2.19,0.0,0.0,1.04
2025-06-04,600179,2.74,2.77,2.78,2.71,384097,105578571.0,2.55,1.09,0.03,1.03
2025-06-05,600179,2.76,2.78,2.81,2.75,426081,118148497.0,2.17,0.36,0.01,1.14
2025-06-06,600179,2.79,2.76,2.81,2.75,302905,84190306.0,2.16,-0.72,-0.02,0.81
2025-06-09,600179,2.76,2.78,2.79,2.75,322637,89425134.0,1.45,0.72,0.02,0.86
2025-06-10,600179,2.77,2.76,2.79,2.73,354969,97769860.0,2.16,-0.72,-0.02,0.95
2025-06-11,600179,2.76,2.76,2.78,2.75,358447,99212056.0,1.09,0.0,0.0,0.96
2025-06-12,600179,2.76,2.74,2.77,2.73,297555,81585997.0,1.45,-0.72,-0.02,0.79
2025-06-13,600179,2.74,2.7,2.75,2.68,350558,94973635.0,2.55,-1.46,-0.04,0.94
2025-06-16,600179,2.7,2.71,2.72,2.69,202276,54682662.0,1.11,0.37,0.01,0.54
2025-06-17,600179,2.71,2.77,2.77,2.69,379262,103609686.0,2.95,2.21,0.06,1.01
2025-06-18,600179,2.77,2.79,2.81,2.76,433652,120968466.0,1.81,0.72,0.02,1.16
2025-06-19,600179,2.78,2.71,2.79,2.69,373109,101443324.0,3.58,-2.87,-0.08,1.0
2025-06-20,600179,2.71,2.75,2.78,2.68,415442,113586781.0,3.69,1.48,0.04,1.11
2025-06-23,600179,2.76,2.77,2.81,2.75,388205,107785529.0,2.18,0.73,0.02,1.04
2025-06-24,600179,2.76,2.77,2.8,2.72,391077,108242601.0,2.89,0.0,0.0,1.04
2025-06-25,600179,2.78,2.79,2.8,2.75,324430,90048942.0,1.81,0.72,0.02,0.87
2025-06-26,600179,2.79,2.77,2.79,2.76,301165,83625937.0,1.08,-0.72,-0.02,0.8
2025-06-27,600179,2.78,2.78,2.81,2.76,284401,79183543.0,1.81,0.36,0.01,0.76
2025-06-30,600179,2.78,2.76,2.79,2.76,253477,70179177.0,1.08,-0.72,-0.02,0.68
2025-07-01,600179,2.76,2.77,2.78,2.74,322198,88947986.0,1.45,0.36,0.01,0.86
2025-07-02,600179,2.78,2.8,2.81,2.77,357200,99689324.0,1.44,1.08,0.03,0.95
2025-07-03,600179,2.8,2.79,2.81,2.78,229009,63930188.0,1.07,-0.36,-0.01,0.61
2025-07-04,600179,2.78,2.77,2.82,2.77,330636,92259599.0,1.79,-0.72,-0.02,0.88
2025-07-07,600179,2.77,2.82,2.84,2.76,391749,109812868.0,2.89,1.81,0.05,1.05
2025-07-08,600179,2.82,2.84,2.84,2.8,291360,82375829.0,1.42,0.71,0.02,0.78
2025-07-09,600179,2.84,2.85,2.86,2.83,266022,75796927.0,1.06,0.35,0.01,0.71
2025-07-10,600179,2.84,2.89,2.9,2.84,421006,121416886.0,2.11,1.4,0.04,1.12
2025-07-11,600179,2.89,2.91,2.92,2.88,447632,129919560.0,1.38,0.69,0.02,1.2
2025-07-14,600179,3.09,3.03,3.15,3.02,1555456,477913713.0,4.47,4.12,0.12,4.15
