日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,300523,19.39,19.34,19.54,19.12,21535,41485077.0,2.16,-0.31,-0.06,0.93
2025-04-16,300523,19.25,18.95,19.3,18.57,25205,47779971.0,3.77,-2.02,-0.39,1.08
2025-04-17,300523,18.8,18.96,19.16,18.73,18992,36147627.0,2.27,0.05,0.01,0.82
2025-04-18,300523,18.96,19.04,19.7,18.71,34134,65467101.0,5.22,0.42,0.08,1.47
2025-04-21,300523,19.0,19.43,19.68,18.8,27412,52853599.0,4.62,2.05,0.39,1.18
2025-04-22,300523,19.35,19.22,19.57,19.16,20609,39845342.0,2.11,-1.08,-0.21,0.89
2025-04-23,300523,19.16,19.55,19.69,19.16,20800,40619788.0,2.76,1.72,0.33,0.9
2025-04-24,300523,19.49,19.03,19.49,18.66,25653,48867594.0,4.25,-2.66,-0.52,1.1
2025-04-25,300523,19.15,18.95,19.18,18.7,17900,34028433.0,2.52,-0.42,-0.08,0.77
2025-04-28,300523,18.95,19.3,19.65,18.71,38449,73926623.0,4.96,1.85,0.35,1.65
2025-04-29,300523,19.22,19.75,20.01,19.0,46314,90338990.0,5.23,2.33,0.45,1.99
2025-04-30,300523,19.78,20.26,20.61,19.62,36512,73750829.0,5.01,2.58,0.51,1.57
2025-05-06,300523,20.59,20.92,21.03,20.4,33580,69652164.0,3.11,3.26,0.66,1.45
2025-05-07,300523,21.15,20.93,21.35,20.71,42214,88541515.0,3.06,0.05,0.01,1.82
2025-05-08,300523,20.76,21.14,21.2,20.69,27188,57117587.0,2.44,1.0,0.21,1.17
2025-05-09,300523,21.02,20.8,21.31,20.53,26152,54441186.0,3.69,-1.61,-0.34,1.13
2025-05-12,300523,20.96,21.05,21.38,20.8,25981,54846002.0,2.79,1.2,0.25,1.12
2025-05-13,300523,21.19,20.93,21.53,20.9,31566,66708323.0,2.99,-0.57,-0.12,1.36
2025-05-14,300523,20.93,20.86,21.15,20.69,26489,55225426.0,2.2,-0.33,-0.07,1.14
2025-05-15,300523,20.87,20.35,20.88,20.22,24460,50024164.0,3.16,-2.44,-0.51,1.05
2025-05-16,300523,20.3,20.49,20.5,20.03,16725,34112200.0,2.31,0.69,0.14,0.72
2025-05-19,300523,20.48,21.03,21.29,20.3,35048,73054709.0,4.83,2.64,0.54,1.51
2025-05-20,300523,21.03,21.13,21.42,20.86,30449,64338017.0,2.66,0.48,0.1,1.31
2025-05-21,300523,21.86,21.94,22.78,21.8,117725,261364502.0,4.64,3.83,0.81,5.07
2025-05-22,300523,21.6,22.91,22.95,21.3,109032,241771474.0,7.52,4.42,0.97,4.69
2025-05-23,300523,23.0,21.9,23.0,21.72,79923,177171389.0,5.59,-4.41,-1.01,3.44
2025-05-26,300523,21.71,22.07,22.44,21.65,40377,88768404.0,3.61,0.78,0.17,1.74
2025-05-27,300523,21.9,22.25,22.53,21.52,44572,98295171.0,4.58,0.82,0.18,1.92
2025-05-28,300523,22.49,21.63,22.49,21.58,32023,70231168.0,4.09,-2.79,-0.62,1.38
2025-05-29,300523,21.65,21.95,22.11,21.53,31171,68178440.0,2.68,1.48,0.32,1.34
2025-05-30,300523,21.86,21.6,22.19,21.56,34697,75617069.0,2.87,-1.59,-0.35,1.49
2025-06-03,300523,21.5,21.52,21.76,21.28,27083,58250119.0,2.22,-0.37,-0.08,1.17
2025-06-04,300523,21.6,21.77,21.89,21.4,23322,50604406.0,2.28,1.16,0.25,1.0
2025-06-05,300523,21.7,21.79,21.88,21.58,24787,53852849.0,1.38,0.09,0.02,1.07
2025-06-06,300523,21.75,21.43,21.82,21.42,23754,51214246.0,1.84,-1.65,-0.36,1.02
2025-06-09,300523,21.5,21.26,21.66,21.0,36159,76944582.0,3.08,-0.79,-0.17,1.56
2025-06-10,300523,21.26,22.09,22.88,20.73,88884,194002169.0,10.11,3.9,0.83,3.83
2025-06-11,300523,21.93,21.76,21.99,21.63,40445,88085012.0,1.63,-1.49,-0.33,1.74
2025-06-12,300523,21.63,21.44,21.79,21.38,28372,61048699.0,1.88,-1.47,-0.32,1.22
2025-06-13,300523,21.43,22.41,23.0,21.42,111921,249949073.09,7.37,4.52,0.97,4.82
