日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-09,002645,8.12,8.22,8.58,7.57,317384,255011165.5,12.07,-1.79,-0.15,6.19
2025-04-10,002645,8.23,8.21,8.48,8.17,313782,260737431.0,3.77,-0.12,-0.01,6.12
2025-04-11,002645,8.3,7.9,8.31,7.88,272106,219655596.56,5.24,-3.78,-0.31,5.31
2025-04-14,002645,7.96,7.97,8.34,7.91,336771,272483708.89,5.44,0.89,0.07,6.57
2025-04-15,002645,8.0,7.95,8.09,7.83,223676,177528619.2,3.26,-0.25,-0.02,4.36
2025-04-16,002645,8.0,7.3,8.04,7.16,385243,286875689.16,11.07,-8.18,-0.65,7.51
2025-04-17,002645,7.08,7.3,7.42,7.08,202275,147514729.7,4.66,0.0,0.0,3.94
2025-04-18,002645,7.21,7.16,7.34,7.05,177697,127996526.06,3.97,-1.92,-0.14,3.46
2025-04-21,002645,7.18,7.21,7.23,7.08,124290,89147920.4,2.09,0.7,0.05,2.42
2025-04-22,002645,7.2,7.17,7.31,7.17,126804,91521014.06,1.94,-0.55,-0.04,2.47
2025-04-23,002645,7.17,7.42,7.75,7.14,318890,237099707.68,8.51,3.49,0.25,6.22
2025-04-24,002645,7.3,7.09,7.33,7.04,222924,159486456.0,3.91,-4.45,-0.33,4.35
2025-04-25,002645,7.15,7.09,7.2,7.02,128931,91629171.2,2.54,0.0,0.0,2.51
2025-04-28,002645,7.08,6.99,7.13,6.85,128630,89686223.9,3.95,-1.41,-0.1,2.51
2025-04-29,002645,6.99,7.33,7.37,6.91,209865,151451352.79,6.58,4.86,0.34,4.09
2025-04-30,002645,7.47,7.65,7.72,7.39,238406,180988506.42,4.5,4.37,0.32,4.65
2025-05-06,002645,7.94,8.05,8.14,7.9,279725,223746285.0,3.14,5.23,0.4,5.45
2025-05-07,002645,8.1,7.98,8.12,7.88,212112,169732073.0,2.98,-0.87,-0.07,4.14
2025-05-08,002645,7.91,8.0,8.06,7.91,96206,76898943.76,1.88,0.25,0.02,1.88
2025-05-09,002645,8.0,7.88,8.0,7.82,79367,62606546.0,2.25,-1.5,-0.12,1.55
2025-05-12,002645,8.0,8.33,8.43,7.92,236055,194405189.0,6.47,5.71,0.45,4.6
2025-05-13,002645,8.41,8.24,8.43,8.18,126000,104047686.5,3.0,-1.08,-0.09,2.46
2025-05-14,002645,8.24,8.25,8.38,8.14,136223,112738795.0,2.91,0.12,0.01,2.66
2025-05-15,002645,8.25,8.22,8.38,8.16,117605,97115364.0,2.67,-0.36,-0.03,2.29
2025-05-16,002645,8.21,8.27,8.4,8.16,116748,96964389.0,2.92,0.61,0.05,2.28
2025-05-19,002645,8.25,8.37,8.46,8.14,128892,107024294.0,3.87,1.21,0.1,2.51
2025-05-20,002645,8.34,8.33,8.4,8.23,91327,75828292.0,2.03,-0.48,-0.04,1.78
2025-05-21,002645,8.32,8.21,8.37,8.17,70185,57690627.0,2.4,-1.44,-0.12,1.37
2025-05-22,002645,8.15,8.11,8.29,8.08,84492,69081933.0,2.56,-1.22,-0.1,1.65
2025-05-23,002645,8.07,8.07,8.33,8.07,93104,76099462.0,3.21,-0.49,-0.04,1.82
2025-05-26,002645,8.05,8.19,8.22,8.02,72113,58776844.0,2.48,1.49,0.12,1.41
2025-05-27,002645,8.19,8.14,8.22,8.06,58160,47215494.0,1.95,-0.61,-0.05,1.13
2025-05-28,002645,8.11,8.14,8.25,8.1,53720,43844792.0,1.84,0.0,0.0,1.05
2025-05-29,002645,8.15,8.23,8.27,8.1,88762,72855723.0,2.09,1.11,0.09,1.73
2025-05-30,002645,8.24,8.11,8.27,8.08,64803,52698515.0,2.31,-1.46,-0.12,1.26
2025-06-03,002645,7.91,8.15,8.23,7.91,89424,72752932.0,3.95,0.49,0.04,1.74
2025-06-04,002645,8.16,8.28,8.33,8.13,89181,73585075.0,2.45,1.6,0.13,1.74
2025-06-05,002645,8.3,8.34,8.4,8.23,113406,94386057.0,2.05,0.72,0.06,2.21
2025-06-06,002645,8.33,8.63,8.88,8.28,290480,250955750.56,7.19,3.48,0.29,5.66
