日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-11,688025,45.13,46.2,46.98,45.13,30772,142540978.0,4.16,3.84,1.71,3.24
2025-04-14,688025,47.6,46.35,48.53,46.01,33256,157723884.0,5.45,0.32,0.15,3.5
2025-04-15,688025,46.13,46.31,46.6,45.65,13639,62845100.0,2.05,-0.09,-0.04,1.43
2025-04-16,688025,46.02,44.3,46.12,43.83,25600,114255752.0,4.94,-4.34,-2.01,2.69
2025-04-17,688025,43.7,44.3,44.97,43.7,22741,101025788.0,2.87,0.0,0.0,2.39
2025-04-18,688025,44.46,44.32,44.61,43.56,13342,58780253.0,2.37,0.05,0.02,1.4
2025-04-21,688025,44.03,45.44,45.57,43.83,14868,66882089.0,3.93,2.53,1.12,1.56
2025-04-22,688025,45.44,45.23,45.62,45.07,9344,42292972.0,1.21,-0.46,-0.21,0.98
2025-04-23,688025,46.18,47.0,47.85,45.98,24339,113953058.0,4.13,3.91,1.77,2.56
2025-04-24,688025,47.1,45.62,47.1,45.38,16237,74657301.0,3.66,-2.94,-1.38,1.71
2025-04-25,688025,45.6,45.68,46.55,45.38,15258,70068160.0,2.56,0.13,0.06,1.61
2025-04-28,688025,45.84,45.18,46.33,45.11,12242,55870577.0,2.67,-1.09,-0.5,1.29
2025-04-29,688025,45.55,46.21,46.67,44.84,14897,68586508.0,4.05,2.28,1.03,1.57
2025-04-30,688025,47.08,48.72,49.48,47.08,29711,143871653.0,5.19,5.43,2.51,3.13
2025-05-06,688025,49.48,50.55,50.77,49.03,23273,116452322.0,3.57,3.76,1.83,2.45
2025-05-07,688025,50.92,50.0,51.75,49.81,25788,130904360.0,3.84,-1.09,-0.55,2.71
2025-05-08,688025,49.66,51.18,51.3,49.53,19411,98181698.0,3.54,2.36,1.18,2.04
2025-05-09,688025,50.99,50.37,50.99,49.66,14364,72259753.0,2.6,-1.58,-0.81,1.51
2025-05-12,688025,51.66,52.16,52.63,51.26,19137,99578152.0,2.72,3.55,1.79,2.01
2025-05-13,688025,53.16,51.18,53.16,51.0,22764,117792744.0,4.14,-1.88,-0.98,2.4
2025-05-14,688025,50.86,50.7,51.45,50.19,16252,82335939.0,2.46,-0.94,-0.48,1.71
2025-05-15,688025,51.13,49.9,51.13,49.7,11358,56924916.0,2.82,-1.58,-0.8,1.19
2025-05-16,688025,49.79,50.54,50.94,49.77,11157,56422384.0,2.34,1.28,0.64,1.17
2025-05-19,688025,50.41,50.82,51.01,49.86,12209,61525570.0,2.28,0.55,0.28,1.28
2025-05-20,688025,50.7,50.83,51.6,50.3,13137,66969955.0,2.56,0.02,0.01,1.38
2025-05-21,688025,50.93,50.15,50.94,49.71,12271,61595769.0,2.42,-1.34,-0.68,1.29
2025-05-22,688025,50.14,49.7,51.19,49.6,11745,59122566.0,3.17,-0.9,-0.45,1.24
2025-05-23,688025,50.4,49.0,50.4,48.92,10909,54224705.0,2.98,-1.41,-0.7,1.15
2025-05-26,688025,49.0,50.36,50.88,49.0,15306,76715643.0,3.84,2.78,1.36,1.61
2025-05-27,688025,50.2,49.53,50.59,49.36,10065,49967816.0,2.44,-1.65,-0.83,1.06
2025-05-28,688025,49.53,49.08,49.94,48.93,8311,41000851.0,2.04,-0.91,-0.45,0.87
2025-05-29,688025,49.0,49.74,50.2,49.0,12680,63067947.0,2.44,1.34,0.66,1.33
2025-05-30,688025,49.7,47.77,49.71,47.46,23400,112736698.0,4.52,-3.96,-1.97,2.46
2025-06-03,688025,47.6,48.32,48.84,47.58,10872,52567992.0,2.64,1.15,0.55,1.14
2025-06-04,688025,46.3,46.2,46.99,45.19,37325,172347933.0,3.73,-4.39,-2.12,3.93
2025-06-05,688025,46.07,47.31,47.5,45.88,27522,128807631.0,3.51,2.4,1.11,2.9
2025-06-06,688025,47.5,53.07,54.39,47.16,81523,420619425.0,15.28,12.18,5.76,8.58
2025-06-09,688025,54.19,55.74,56.35,52.86,62890,342207780.0,6.58,5.03,2.67,6.62
2025-06-10,688025,55.74,57.5,58.22,54.6,62263,352172830.0,6.49,3.16,1.76,6.55
