日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-15,300503,23.9,23.34,24.02,23.18,120700,282918927.0,3.49,-2.95,-0.71,5.05
2025-05-16,300503,23.23,23.4,23.92,23.12,132076,312692151.0,3.43,0.26,0.06,5.52
2025-05-19,300503,23.25,22.78,23.35,22.1,150857,339504299.0,5.34,-2.65,-0.62,6.31
2025-05-20,300503,22.7,22.71,22.95,22.3,86589,196354854.0,2.85,-0.31,-0.07,3.62
2025-05-21,300503,22.63,22.2,22.63,21.92,102745,227989083.0,3.13,-2.25,-0.51,4.3
2025-05-22,300503,22.2,22.08,22.6,21.96,81045,180102183.0,2.88,-0.54,-0.12,3.39
2025-05-23,300503,21.86,21.81,22.49,21.75,95636,211414528.0,3.35,-1.22,-0.27,4.0
2025-05-26,300503,21.81,22.03,22.1,21.73,62578,137192147.0,1.7,1.01,0.22,2.62
2025-05-27,300503,22.01,21.5,22.02,21.43,70961,153226704.0,2.68,-2.41,-0.53,2.97
2025-05-28,300503,21.5,21.32,21.79,21.22,68078,146116577.0,2.65,-0.84,-0.18,2.85
2025-05-29,300503,21.48,21.65,21.76,21.36,77175,166740031.0,1.88,1.55,0.33,3.23
2025-05-30,300503,21.62,21.01,21.64,20.89,82321,173806650.0,3.46,-2.96,-0.64,3.44
2025-06-03,300503,20.76,20.97,21.19,20.7,53212,111906162.0,2.33,-0.19,-0.04,2.23
2025-06-04,300503,21.0,20.99,21.29,20.94,58805,124047384.0,1.67,0.1,0.02,2.46
2025-06-05,300503,21.1,21.48,21.52,20.82,102000,216819766.0,3.33,2.33,0.49,4.27
2025-06-06,300503,21.5,21.18,21.52,21.1,67321,142757454.0,1.96,-1.4,-0.3,2.82
2025-06-09,300503,21.25,21.41,21.58,21.18,73788,158096779.0,1.89,1.09,0.23,3.09
2025-06-10,300503,21.5,21.33,21.53,20.76,87311,184964034.0,3.6,-0.37,-0.08,3.65
2025-06-11,300503,21.33,21.45,21.55,21.33,65663,140879916.0,1.03,0.56,0.12,2.75
2025-06-12,300503,21.4,21.17,21.49,21.16,53034,112854515.0,1.54,-1.31,-0.28,2.22
2025-06-13,300503,21.06,20.57,21.15,20.46,69930,145027866.0,3.26,-2.83,-0.6,2.92
2025-06-16,300503,20.53,20.68,20.82,20.46,46573,96420654.0,1.75,0.53,0.11,1.95
2025-06-17,300503,20.72,20.89,21.25,20.65,56554,118258064.0,2.9,1.02,0.21,2.37
2025-06-18,300503,20.8,21.1,21.11,20.6,57639,120313851.0,2.44,1.01,0.21,2.41
2025-06-19,300503,20.99,21.2,21.65,20.9,126529,269942875.0,3.55,0.47,0.1,5.29
2025-06-20,300503,21.01,20.36,21.25,20.35,79163,163537255.0,4.25,-3.96,-0.84,3.31
2025-06-23,300503,20.22,20.78,20.78,20.02,54828,112726069.0,3.73,2.06,0.42,2.29
2025-06-24,300503,20.8,22.0,22.17,20.8,160871,349614364.0,6.59,5.87,1.22,6.73
2025-06-25,300503,22.05,22.2,22.32,21.8,130318,287775968.0,2.36,0.91,0.2,5.45
2025-06-26,300503,22.08,21.84,22.44,21.82,99103,218876013.0,2.79,-1.62,-0.36,4.15
2025-06-27,300503,21.94,21.85,22.1,21.71,68729,150482873.0,1.79,0.05,0.01,2.87
2025-06-30,300503,21.87,22.13,22.19,21.82,66741,147059383.0,1.69,1.28,0.28,2.79
2025-07-01,300503,22.05,22.0,22.24,21.91,63301,139525232.0,1.49,-0.59,-0.13,2.65
2025-07-02,300503,22.1,21.63,22.1,21.41,64740,140381922.0,3.14,-1.68,-0.37,2.71
2025-07-03,300503,21.57,21.75,21.96,21.57,48023,104595214.0,1.8,0.55,0.12,2.01
2025-07-04,300503,21.66,21.28,21.86,21.27,67260,144219956.0,2.71,-2.16,-0.47,2.81
2025-07-07,300503,21.22,21.08,21.23,20.91,45061,94974936.0,1.5,-0.94,-0.2,1.88
2025-07-08,300503,21.17,21.58,21.65,21.06,61629,132085662.0,2.8,2.37,0.5,2.58
2025-07-09,300503,21.83,21.5,22.3,21.43,114905,251988277.0,4.03,-0.37,-0.08,4.81
2025-07-10,300503,21.41,21.28,21.55,21.1,56749,120950938.0,2.09,-1.02,-0.22,2.37
2025-07-11,300503,21.29,21.74,21.91,21.1,84617,182275223.0,3.81,2.16,0.46,3.54
2025-07-14,300503,21.7,22.61,22.9,21.67,193319,434090127.48,5.66,4.0,0.87,8.09
