序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,839680,*ST广道,5.87,29.87,1.35,196287.0,106185208.09,37.39,5.87,4.18,4.2,4.52,1.8,41.86,-16.14,6.01,3.93,275263929.0,0.0,0.0,-41.06,-60.28
2,835305,*ST云创,16.33,22.78,3.03,242688.0,362595415.87,31.88,17.15,12.91,12.91,13.3,2.01,29.92,-71.2,3.46,21.62,1324377289.0,0.06,-1.74,-26.28,-19.6
3,300436,广生堂,51.34,20.01,8.56,356788.0,1715428301.44,17.13,51.34,44.01,45.0,42.78,3.2,26.1,-71.75,24.65,81.77,7019195507.0,0.0,0.0,100.23,57.15
4,688068,热景生物,194.81,20.0,32.47,52638.0,984120308.0,15.4,194.81,169.81,169.81,162.34,1.64,5.68,-188.07,6.05,180.6,18060433791.0,0.0,0.0,102.93,215.02
5,301389,隆扬电子,31.92,20.0,5.32,358897.0,1088642368.47,20.38,31.92,26.5,26.62,26.6,2.32,43.73,73.75,4.15,90.49,2619899340.0,0.0,0.0,96.31,93.81
6,300649,杭州园林,20.88,20.0,3.48,259029.0,523606252.0,18.28,20.88,17.7,17.8,17.4,1.13,24.41,-77.85,5.71,27.65,2215719076.0,0.0,0.0,129.96,95.87
7,301024,霍普股份,58.1,19.99,9.68,93898.0,501671850.5,17.66,58.1,49.55,50.5,48.42,1.24,15.6,-104.65,8.74,36.94,3498201000.0,0.0,0.0,179.33,144.12
8,300921,南凌科技,26.12,19.98,4.35,395444.0,973243954.47,19.06,26.12,21.97,22.2,21.77,3.39,34.48,360.58,5.93,48.01,2995991870.0,0.0,0.0,69.5,34.99
9,688553,汇宇制药-W,20.93,18.79,3.31,487672.0,951574582.0,19.75,21.14,17.66,17.69,17.62,4.39,14.2,-86.49,2.36,88.66,7190286444.0,0.0,-0.1,57.84,41.99
10,688520,神州细胞,85.41,16.46,12.07,201686.0,1629556429.0,17.41,87.97,75.2,75.2,73.34,2.7,4.53,149.12,-93.99,380.36,38036123333.0,-0.11,-0.08,136.07,135.74
11,300348,长亮科技,18.13,13.31,2.13,2253594.0,3971517969.46,20.44,19.19,15.92,16.14,16.0,2.43,31.83,-1422.34,6.97,147.26,12837257919.0,-0.06,0.06,73.99,26.87
12,300858,科拓生物,18.76,12.67,2.11,297782.0,543033358.28,17.12,19.5,16.65,16.65,16.65,3.6,15.71,60.79,2.73,49.43,3556022797.0,0.05,-0.21,66.16,30.46
13,300472,*ST新元,5.0,11.86,0.53,604120.0,285781816.68,19.91,5.3,4.41,4.41,4.47,1.73,24.57,-19.97,161.4,13.76,1229207890.0,0.0,-0.99,20.48,-23.78
14,301317,鑫磊股份,33.36,11.09,3.33,160418.0,526603291.68,15.32,34.34,29.74,30.02,30.03,5.22,35.81,3.33,3.76,52.44,1494528000.0,0.06,-0.03,105.42,70.2
