序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2,872895,花溪科技,43.47,29.99,10.03,29443.0,117474950.67,30.08,43.47,33.41,33.99,33.44,2.33,10.25,-207.9,12.57,24.57,1249193043.0,0.0,0.0,139.37,258.96
3,833171,国航远洋,13.02,29.94,3.0,1025481.0,1172766873.12,30.94,13.02,9.92,9.99,10.02,3.31,35.74,-117.17,5.38,72.31,3735938606.0,0.0,0.0,90.35,115.21
4,872351,华光源海,41.07,26.88,8.7,145589.0,527411261.49,31.48,42.0,31.81,32.37,32.37,2.13,41.29,84.84,7.87,36.16,1448146230.0,-0.07,-0.51,168.43,298.74
5,872808,曙光数创,62.75,24.01,12.15,142640.0,904884233.92,11.23,65.78,60.1,65.78,50.6,9.04,7.33,-100.01,18.31,125.5,12211354691.0,-0.05,-0.08,-9.97,-6.9
6,300485,赛升药业,12.78,20.0,2.13,570794.0,697061400.03,19.53,12.78,10.7,10.78,10.65,1.87,20.85,38.5,1.81,61.56,3499383586.0,0.0,0.0,77.99,82.31
7,301141,中科磁业,55.02,20.0,9.17,262818.0,1305865262.62,21.68,55.02,45.08,47.11,45.85,2.6,59.04,126.95,5.37,68.24,2449083527.0,0.0,0.0,35.42,51.57
8,688656,浩欧博,118.78,20.0,19.8,35798.0,392467311.0,22.51,118.78,96.5,98.98,98.98,1.82,5.68,1142.37,9.41,74.9,7490068200.0,0.0,0.0,22.64,24.77
9,300886,华业香料,35.4,20.0,5.9,145197.0,476576579.27,21.69,35.4,29.0,29.21,29.5,1.68,33.27,57.8,4.57,26.48,1545079020.0,0.0,0.0,68.41,88.4
10,300619,金银河,24.8,19.98,4.13,240482.0,566662436.18,19.98,24.8,20.67,21.03,20.67,5.89,16.82,-16.32,2.88,43.15,3545792846.0,0.0,0.0,7.17,34.05
11,300340,科恒股份,18.86,19.97,3.14,970129.0,1676962240.65,22.96,18.86,15.25,15.52,15.72,1.93,46.09,562.24,93.38,52.03,3969361639.0,0.0,0.0,71.77,97.9
12,300299,富春股份,7.99,19.97,1.33,2347091.0,1776855601.06,15.62,7.99,6.95,7.06,6.66,4.51,34.07,136.57,12.3,55.15,5504914924.0,0.0,0.0,22.55,46.07
13,300905,宝丽迪,38.9,15.5,5.22,388552.0,1491136757.94,21.32,40.42,33.24,33.69,33.68,1.69,28.12,64.33,3.75,69.2,5375986457.0,0.05,-1.02,34.37,51.01
14,300798,锦鸡股份,10.16,15.32,1.35,1257663.0,1204496126.82,15.1,10.22,8.89,9.83,8.81,3.63,33.74,-166.76,2.81,47.63,3787441061.0,0.1,0.69,34.39,42.1
15,301108,洁雅股份,38.8,14.83,5.01,82834.0,304464315.23,19.86,40.52,33.81,33.81,33.79,2.26,17.94,77.5,1.7,31.19,1791886471.0,0.05,0.57,41.97,50.68
16,300199,翰宇药业,17.81,13.58,2.13,2053295.0,3508261244.63,15.63,18.45,16.0,16.2,15.68,2.75,29.07,56.29,24.26,157.31,12578902474.0,1.02,1.89,37.53,38.17
