日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-07,300643,14.01,13.27,14.43,12.86,168270,230899364.0,9.89,-16.38,-2.6,7.31
2025-04-08,300643,13.73,13.21,13.88,12.85,107134,142399826.0,7.76,-0.45,-0.06,4.66
2025-04-09,300643,12.94,13.06,13.6,11.56,134091,167592921.0,15.44,-1.14,-0.15,5.83
2025-04-10,300643,13.66,13.55,14.36,13.5,129504,180050729.0,6.58,3.75,0.49,5.63
2025-04-11,300643,13.46,13.72,13.96,13.28,74413,102315240.0,5.02,1.25,0.17,3.23
2025-04-14,300643,13.99,13.91,14.36,13.78,63420,89163729.0,4.23,1.38,0.19,2.76
2025-04-15,300643,13.99,13.97,14.21,13.65,48703,67760537.0,4.03,0.43,0.06,2.12
2025-04-16,300643,13.85,13.24,13.89,13.08,58653,78511267.0,5.8,-5.23,-0.73,2.55
2025-04-17,300643,13.19,13.33,13.74,13.02,42700,57557666.0,5.44,0.68,0.09,1.86
2025-04-18,300643,13.28,13.27,13.48,13.09,30820,40893056.0,2.93,-0.45,-0.06,1.34
2025-04-21,300643,13.15,13.7,13.72,13.06,41980,56697903.0,4.97,3.24,0.43,1.82
2025-04-22,300643,13.98,13.92,14.08,13.61,40620,56140612.0,3.43,1.61,0.22,1.76
2025-04-23,300643,14.3,14.82,14.93,14.25,109213,159490600.0,4.89,6.47,0.9,4.75
2025-04-24,300643,14.78,15.69,16.45,14.59,174678,274306576.0,12.55,5.87,0.87,7.59
2025-04-25,300643,15.77,15.71,16.08,15.4,105900,167011445.0,4.33,0.13,0.02,4.6
2025-04-28,300643,15.71,15.62,16.0,15.31,77054,120011171.0,4.39,-0.57,-0.09,3.35
2025-04-29,300643,15.56,15.86,16.3,15.56,105773,169057965.0,4.74,1.54,0.24,4.6
2025-04-30,300643,16.09,15.96,16.27,15.66,70651,112413153.0,3.85,0.63,0.1,3.07
2025-05-06,300643,16.05,16.52,16.55,15.99,80419,130983987.0,3.51,3.51,0.56,3.49
2025-05-07,300643,16.6,16.62,16.99,16.45,82844,138141304.0,3.27,0.61,0.1,3.6
2025-05-08,300643,16.59,16.89,17.09,16.44,74300,125266324.0,3.91,1.62,0.27,3.23
2025-05-09,300643,17.25,17.92,19.25,17.18,228260,412365917.0,12.26,6.1,1.03,9.92
2025-05-12,300643,18.9,20.89,21.5,18.9,353600,732465234.0,14.51,16.57,2.97,15.36
2025-05-13,300643,21.1,19.94,21.93,19.4,349044,716452760.0,12.11,-4.55,-0.95,15.17
2025-05-14,300643,20.18,20.06,20.58,19.6,234107,469532314.0,4.91,0.6,0.12,10.17
2025-05-15,300643,20.18,19.54,20.58,19.35,145377,286762158.0,6.13,-2.59,-0.52,6.32
2025-05-16,300643,19.53,20.16,20.6,19.38,181758,365381459.0,6.24,3.17,0.62,7.9
2025-05-19,300643,20.27,19.25,20.35,19.14,138642,269027696.0,6.0,-4.51,-0.91,6.02
2025-05-20,300643,19.2,19.74,19.79,18.8,109454,212365799.0,5.14,2.55,0.49,4.76
2025-05-21,300643,19.5,20.5,20.86,19.5,163071,329731514.0,6.89,3.85,0.76,7.09
2025-05-22,300643,21.0,23.42,24.43,20.78,307919,695682111.0,17.8,14.24,2.92,13.38
2025-05-23,300643,23.67,22.18,23.86,21.7,256102,574279012.0,9.22,-5.29,-1.24,11.13
2025-05-26,300643,22.39,21.88,22.5,21.66,149856,329575520.0,3.79,-1.35,-0.3,6.51
2025-05-27,300643,21.51,21.63,21.88,21.1,108236,232173119.0,3.56,-1.14,-0.25,4.7
2025-05-28,300643,21.73,21.0,21.77,20.88,106801,225838826.0,4.11,-2.91,-0.63,4.64
2025-05-29,300643,20.93,23.49,23.73,20.93,223701,513517908.0,13.33,11.86,2.49,9.72
2025-05-30,300643,22.95,23.28,23.31,22.58,132598,304443690.0,3.11,-0.89,-0.21,5.76
2025-06-03,300643,23.05,23.36,23.91,22.81,117883,275946664.0,4.73,0.34,0.08,5.12
2025-06-04,300643,23.5,23.44,23.5,22.0,120931,276355967.0,6.42,0.34,0.08,5.25
2025-06-05,300643,23.45,24.3,24.65,23.11,166681,402191344.0,6.57,3.67,0.86,7.24
