日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-07,002609,8.72,8.29,8.8,8.29,94891,80394343.0,5.53,-10.09,-0.93,2.07
2025-04-08,002609,8.14,7.88,8.28,7.65,212978,169399739.34,7.6,-4.95,-0.41,4.64
2025-04-09,002609,7.73,7.85,7.88,7.22,128552,98734157.0,8.38,-0.38,-0.03,2.8
2025-04-10,002609,8.0,8.23,8.37,8.0,155770,129920173.94,4.71,4.84,0.38,3.39
2025-04-11,002609,8.18,9.06,9.06,8.08,187079,164049446.33,11.91,10.09,0.83,4.07
2025-04-14,002609,9.23,9.3,9.6,9.13,218387,205824416.82,5.19,2.65,0.24,4.75
2025-04-15,002609,9.3,9.48,9.55,9.17,176172,166861487.0,4.09,1.94,0.18,3.83
2025-04-16,002609,9.38,9.47,9.48,9.12,108363,101955466.0,3.8,-0.11,-0.01,2.36
2025-04-17,002609,9.38,10.06,10.14,9.34,290996,289673720.41,8.45,6.23,0.59,6.33
2025-04-18,002609,10.01,9.61,10.04,9.53,175629,171688767.8,5.07,-4.47,-0.45,3.82
2025-04-21,002609,9.63,10.03,10.35,9.63,230912,234729783.57,7.49,4.37,0.42,5.03
2025-04-22,002609,10.04,9.93,10.42,9.91,259082,263849230.67,5.08,-1.0,-0.1,5.64
2025-04-23,002609,9.93,9.81,10.03,9.73,127693,126659533.16,3.02,-1.21,-0.12,2.78
2025-04-24,002609,9.74,9.56,10.03,9.54,139930,136984421.52,4.99,-2.55,-0.25,3.05
2025-04-25,002609,9.54,9.89,9.96,9.5,141288,138539677.1,4.81,3.45,0.33,3.08
2025-04-28,002609,10.12,9.91,10.48,9.91,195212,198699399.6,5.76,0.2,0.02,4.25
2025-04-29,002609,9.88,10.16,10.38,9.81,187078,191958742.56,5.75,2.52,0.25,4.07
2025-04-30,002609,10.09,10.26,10.33,10.03,140184,143906525.0,2.95,0.98,0.1,3.05
2025-05-06,002609,10.33,10.59,10.76,10.21,165028,174364558.0,5.36,3.22,0.33,3.59
2025-05-07,002609,10.65,10.17,10.71,10.05,161115,167067331.0,6.23,-3.97,-0.42,3.51
2025-05-08,002609,10.12,10.19,10.22,10.07,93853,95891252.0,1.47,0.2,0.02,2.04
2025-05-09,002609,10.18,10.15,10.38,10.09,91328,93674652.0,2.85,-0.39,-0.04,1.99
2025-05-12,002609,10.13,10.19,10.46,10.12,84795,87509864.0,3.35,0.39,0.04,1.85
2025-05-13,002609,10.24,10.07,10.33,10.03,70037,71461890.8,2.94,-1.18,-0.12,1.52
2025-05-14,002609,10.1,9.93,10.23,9.87,100527,101239190.0,3.57,-1.39,-0.14,2.19
2025-05-15,002609,9.93,9.79,9.93,9.71,70455,69584054.0,2.22,-1.41,-0.14,1.53
2025-05-16,002609,9.86,9.89,9.95,9.75,54850,54472586.13,2.04,1.02,0.1,1.19
2025-05-19,002609,9.9,9.89,9.91,9.71,48765,48302044.0,2.02,0.0,0.0,1.06
2025-05-20,002609,9.86,10.03,10.17,9.73,91681,92394947.0,4.45,1.42,0.14,2.0
2025-05-21,002609,10.03,9.9,10.04,9.78,58358,58115978.0,2.59,-1.3,-0.13,1.27
2025-05-22,002609,9.84,9.88,10.0,9.78,48519,48324600.0,2.22,-0.2,-0.02,1.06
2025-05-23,002609,9.88,9.74,9.95,9.68,63567,62790272.0,2.73,-1.42,-0.14,1.38
2025-05-26,002609,9.68,10.04,10.05,9.55,68824,68693423.68,5.13,3.08,0.3,1.5
2025-05-27,002609,10.04,9.85,10.05,9.81,48109,47870781.0,2.39,-1.89,-0.19,1.05
2025-05-28,002609,9.86,9.81,9.95,9.78,42561,42135167.0,1.73,-0.41,-0.04,0.93
2025-05-29,002609,9.78,10.8,10.8,9.77,206232,217399235.8,10.5,10.09,0.99,4.49
2025-05-30,002609,11.3,10.78,11.56,10.74,469996,522999232.3,7.59,-0.19,-0.02,10.23
2025-06-03,002609,10.78,10.65,10.94,10.56,231203,247454868.0,3.53,-1.21,-0.13,5.03
2025-06-04,002609,10.65,10.69,10.86,10.52,218226,233128288.2,3.19,0.38,0.04,4.75
2025-06-05,002609,10.78,11.18,11.47,10.76,353225,393755674.51,6.64,4.58,0.49,7.69
